Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies)
"1211870068880063",2025-11-07,,2025-11-07,Cómo usar esta plantilla,📌 GUÍA DEL PROYECTO,,,,,"P1-Crítica,P2-Alta,P3-Media,P4-Baja,bug,feature,investigación","Se trata de un proyecto modelo o plantilla para el desarrollo de aplicaciones web. Tendremos como ejemplo el desarrollo de una tienda online ""Arte en Tela"" en las descripciones de cada tarea y subtarea.

Es un sistema de gestión de proyectos de desarrollo de software encapsulado en una plantilla de Asana.
    Es una hoja de ruta completa que guía al equipo desde la idea inicial hasta el mantenimiento.
    Es una herramienta de comunicación que asegura que todos entiendan qué hay que hacer y por qué.
    Es un manual de buenas prácticas que enseña al equipo cómo trabajar de forma organizada y eficiente dentro de Asana.

Este proyecto es simplemente una guía, no todas las tareas serán necesarias hacer para superar el módulo profesional de proyecto, y en algunas tareas se tendrán que hacer subtareas para que tenga sentido dependiendo de cada proyecto.

Actualmente, este proyecto es una lista de ""qués"", pero no define el ""cuándo"" ni el ""en qué orden"", sólo aparecen unas pocas dependencias en las descripciones de algunas tareas o subtareas.

Hay que mejorar las dependencias entre tareas (y subtareas), asignar fechas de inicio y finalización estimadas.

Hay que asignar responsables a cada tarea (y subtarea), por ejemplo:
    Asigna tareas de diseño al diseñador.
    Asigna tareas de backend al desarrollador de backend.
    Asigna tareas de planificación y revisión al Jefe de Proyecto.

Ten en cuenta el uso de etiquetas, te permiten categorizar y filtrar tu proyecto de formas muy potentes. Crea un sistema de etiquetas sencillo y consistente, por ejemplo:
    Crea etiquetas por área: backend, frontend, devops, diseño.
    Crea etiquetas por tipo de trabajo: bug, feature, investigación, documentación.
    Crea etiquetas por prioridad: P1-Crítico, P2-Alto, P3-Medio.
    Aplica las etiquetas correspondientes a cada tarea. Así, podrás filtrar y ver, por ejemplo, ""todas las tareas críticas del backend"".

Necesitas tener una visión temporal del proyecto, para ello:
    Asigna Fechas de Entrega a TODO. Esto es ahora tu herramienta más importante. Asigna una fecha de finalización realista a cada tarea principal y, si es posible, a las subtareas.
    Usa la Vista de Lista Ordenada por Fecha. En la vista de ""Lista"" de tu proyecto, busca en la esquina superior derecha la opción de ""Ordenar"" y selecciona ""Fecha de entrega"". Esto transformará tu lista de tareas en una línea de tiempo cronológica, de arriba abajo. Verás claramente qué es lo siguiente que hay que entregar.
    Utiliza la Vista de ""Calendario"". El plan gratuito SÍ incluye una vista de Calendario. Haz clic en la pestaña ""Calendario"" en la parte superior de tu proyecto. Verás todas tus tareas con fecha de entrega distribuidas en un calendario mensual. Es una forma excelente de visualizar la carga de trabajo de la semana o del mes y detectar posibles cuellos de botella.

La gestión diaria del proyecto se basará en:
    Fechas de Entrega: Son tu fuente de verdad para saber cuándo deben estar las cosas.
    Vista de Lista (ordenada por fecha) y Vista de Calendario: Son tus herramientas para visualizar la línea de tiempo.
    Menciones (@) en la Descripción: Son tu método para indicar dependencias y relaciones entre tareas.
    Asignados: Sigue siendo crucial asignar cada tarea a una persona para que haya un responsable.
    Etiquetas: Siguen estando disponibles en el plan gratuito y son muy útiles para filtrar. ¡Úsalas!
",Aplicación Web,,,
"1211805048167718",2025-10-31,,2025-11-07,Definición de Alcance y Objetivos,Ámbito y Planificación,,,,,,"    Descripción: Consiste en establecer los límites claros del proyecto de software. Se define qué se va a construir (el alcance) y qué no se va a construir (exclusiones), así como las metas técnicas medibles que definirán el éxito del proyecto (objetivos SMART de desarrollo).
    Qué hay que hacer:
        Redactar un documento de ""Alcance del Software"" o ""Project Charter"".
        Listar las funcionalidades que incluirá el MVP (Producto Mínimo Viable).
        Listar explícitamente las funcionalidades que se dejarán para futuras versiones.
        Definir y documentar los objetivos SMART de desarrollo (calidad, rendimiento, entrega).
    Ejemplo (Tienda Online ""Arte en Tela""):
        Alcance: La v1 incluirá registro de usuarios, catálogo, carrito y pago con Stripe.
        Exclusiones: La v1 NO incluirá un sistema de reseñas de clientes, integración con PayPal, ni un panel de analíticas para el administrador.
        Objetivo SMART: ""Desplegar en producción la v1 del software para el 1 de junio de 2026, cumpliendo el 100% de los criterios de aceptación para los módulos definidos.""
",Aplicación Web,,,
"1211805048167719",2025-10-31,,2025-11-07,Elaborar el acta de constitución del proyecto (Project Charter).,,,,,,,"    Descripción: Es el documento formal que autoriza el inicio del proyecto. Es su ""certificado de nacimiento"", que alinea a todos los stakeholders sobre los objetivos de alto nivel.
    Qué hay que hacer: Redactar un documento que incluya la visión del proyecto, los objetivos principales, los stakeholders clave, el jefe de proyecto asignado y el presupuesto preliminar. Conseguir la firma o aprobación de los patrocinadores del proyecto.
    Ejemplo (Tienda Online ""Arte en Tela""): Se crea un documento de 2 páginas que dice: ""El proyecto 'Arte en Tela v1' tiene como objetivo desarrollar una plataforma de e-commerce... El Jefe de Proyecto es [Nombre]. El Product Owner es [Nombre del cliente]. El presupuesto aprobado es [Cantidad]"".
",,Definición de Alcance y Objetivos,,
"1211805048167720",2025-10-31,,2025-11-07,Definir objetivos SMART y KPIs de éxito.,,,,,,,"    Descripción: Consiste en traducir las metas del proyecto en objetivos técnicos, específicos y medibles para el equipo de desarrollo, junto con los indicadores para monitorizar el progreso.
    Qué hay que hacer: Realizar un taller con el equipo técnico para definir objetivos de entrega, rendimiento y calidad. Aplicar el filtro SMART a cada uno y seleccionar los KPIs correspondientes.
    Ejemplo (Tienda Online ""Arte en Tela""): Se define el objetivo SMART: ""Asegurar una cobertura de pruebas unitarias del 85% para la lógica de negocio del backend antes del despliegue final"". El KPI será: ""Porcentaje de cobertura de código reportado por la herramienta de CI/CD"".
",,Definición de Alcance y Objetivos,,
"1211805052615626",2025-10-31,,2025-11-07,Establecer los límites y exclusiones del proyecto.,,,,,,,"    Descripción: Es una de las acciones más importantes para evitar el ""scope creep"" (la ampliación descontrolada del alcance). Define explícitamente qué funcionalidades o características NO se van a construir en esta fase.
    Qué hay que hacer: Hacer una lista de todas las funcionalidades solicitadas pero que se pospondrán para futuras versiones. Revisar y validar esta lista con el cliente o stakeholder para evitar malentendidos.
    Ejemplo (Tienda Online ""Arte en Tela""): Se crea una sección en el Project Charter llamada ""Exclusiones de la v1"", que incluye: ""Inicio de sesión con redes sociales"", ""Lista de deseos para clientes"", ""Recomendaciones de productos personalizadas"".
",,Definición de Alcance y Objetivos,,
"1211805052615627",2025-10-31,,2025-11-07,Análisis de Viabilidad,Ámbito y Planificación,,,,,,"    Descripción: Es una evaluación realista para determinar si el proyecto se puede llevar a cabo con los recursos, tiempo y conocimientos disponibles. Se analiza la viabilidad técnica, de recursos y temporal.
    Qué hay que hacer:
        Técnica: Evaluar si el equipo domina el stack tecnológico elegido (ej. React, Node.js, PostgreSQL).
        Recursos: Confirmar que se dispone del personal necesario (backend, frontend, etc.) y las herramientas (licencias de software, servicios en la nube).
        Temporal: Realizar una estimación de alto nivel para comprobar si la fecha de entrega deseada es realista.
    Ejemplo (Tienda Online ""Arte en Tela""): El equipo confirma que tiene experiencia en Node.js para el backend y React para el frontend. La estimación inicial sugiere que 3 meses para el MVP es un plazo ajustado pero factible si se evitan desviaciones del alcance. Se necesitará una suscripción a un servicio de hosting como Vercel o AWS.
",Aplicación Web,,,
"1211805052615628",2025-10-31,,2025-11-07,Realizar estudio de viabilidad técnica.,,,,,,,"    Descripción: Consiste en verificar que el equipo de desarrollo posee el conocimiento y las herramientas necesarias para construir la solución propuesta, o si se necesita formación o contratar nuevos perfiles.
    Qué hay que hacer: Analizar el stack tecnológico propuesto (lenguajes, frameworks, bases de datos). Evaluar la experiencia del equipo con estas tecnologías. Identificar posibles retos técnicos y cómo se abordarán.
    Ejemplo (Tienda Online ""Arte en Tela""): Se propone usar React para el frontend. El equipo lo domina, así que es viable. Se propone integrar una pasarela de pago X; nadie la ha usado antes. Se asigna tiempo para una ""Prueba de Concepto"" (PoC) para investigar su API.
",,Análisis de Viabilidad,,
"1211805052615629",2025-10-31,,2025-11-07,Realizar estudio de viabilidad económica y de recursos.,,,,,,,"    Descripción: Consiste en asegurar que el proyecto se puede pagar y que se dispone del personal necesario.
    Qué hay que hacer: Estimar los costes de personal, licencias de software, servicios en la nube (hosting, BBDD), etc. Comparar la estimación con el presupuesto asignado. Confirmar la disponibilidad de los miembros del equipo durante el proyecto.
    Ejemplo (Tienda Online ""Arte en Tela""): Se calcula que el coste mensual de AWS será de unos 100€. El presupuesto lo cubre. Se confirma que el desarrollador frontend no tiene vacaciones planeadas durante los meses clave del proyecto.
",,Análisis de Viabilidad,,
"1211805052615630",2025-10-31,,2025-11-07,Evaluar la viabilidad temporal (plazos).,,,,,,,"    Descripción: Es una estimación de alto nivel para determinar si la fecha de entrega solicitada por el cliente es realista o si se debe renegociar.
    Qué hay que hacer: Desglosar el proyecto en grandes bloques de trabajo (épicas). Estimar, de forma aproximada (en semanas o meses), cuánto tiempo llevará cada bloque. Comparar el total con la fecha límite.
    Ejemplo (Tienda Online ""Arte en Tela""): Se estima: Backend (6 semanas), Frontend (8 semanas), Pruebas (2 semanas). El total es de 16 semanas. Si el cliente quiere el proyecto en 8 semanas, se concluye que no es viable y se debe o bien ampliar el plazo o bien reducir el alcance del MVP.
",,Análisis de Viabilidad,,
"1211805052615631",2025-10-31,,2025-11-07,Planificación Inicial del Proyecto,Ámbito y Planificación,,,,,,"    Descripción: Consiste en crear un cronograma de alto nivel que desglosa el proyecto en fases principales e hitos clave. Es el primer borrador del mapa que guiará todo el desarrollo.
    Qué hay que hacer:
        Crear una estructura de desglose del trabajo (WBS - Work Breakdown Structure).
        Definir los hitos principales (ej. ""Finalización de la API del backend"", ""Inicio de la fase de QA"").
        Crear un diagrama de Gantt o usar la vista de Cronograma de Asana para visualizar las dependencias y plazos.
    Ejemplo (Tienda Online ""Arte en Tela""):
        Hito 1 (Mes 1): API del backend para productos y usuarios completada.
        Hito 2 (Mes 2): Componentes de UI del frontend para catálogo y checkout finalizados.
        Hito 3 (Mes 3): Fase de Pruebas y QA completada.
",Aplicación Web,,,
